test_data_name,image_auroc,pixel_auroc
bottle,100.0,98.47767654958591
cable,96.0457271364318,91.70848717413983
capsule,85.71998404467492,98.18224601455995
carpet,98.43499197431781,98.95231978285838
grid,94.56975772765246,94.97299171503599
hazelnut,99.5,98.64566918393463
leather,100.0,99.28817547022251
metal_nut,99.8533724340176,97.83664805665495
pill,92.79869067103108,96.50382961470469
screw,65.64869850379176,97.48892601310472
tile,85.6060606060606,74.398905355604
toothbrush,99.44444444444444,98.41023132004318
transistor,92.66666666666666,88.15196289643553
wood,87.10526315789473,93.11103316652698
zipper,97.9516806722689,98.27507108215633
